epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,2418.33,1.13238,1.52983,1.34822,0.87071,0.81836,0.89664,0.54108,1.00306,1.69132,0.98267,0.00258825,0.00258825,0.00258825
183,3213.26,1.13294,1.53027,1.34852,0.87045,0.81886,0.89693,0.54136,1.00319,1.69762,0.98253,0.00254536,0.00254536,0.00254536
184,4010.88,1.1398,1.54116,1.35558,0.87013,0.81895,0.89678,0.54189,1.00309,1.6971,0.98244,0.00250295,0.00250295,0.00250295
185,4807.22,1.1266,1.53182,1.34806,0.87169,0.81803,0.89675,0.54204,1.00305,1.69649,0.98251,0.002461,0.002461,0.002461
186,5606.42,1.12882,1.52292,1.34729,0.86845,0.8201,0.89671,0.5423,1.00303,1.70169,0.98239,0.00241954,0.00241954,0.00241954
187,6403.63,1.13526,1.53545,1.3493,0.86741,0.82128,0.89693,0.54248,1.003,1.70564,0.98237,0.00237856,0.00237856,0.00237856
188,7199.15,1.12877,1.52286,1.34517,0.86729,0.82318,0.89719,0.54267,1.00258,1.70801,0.98214,0.00233808,0.00233808,0.00233808
189,7992.84,1.12848,1.52187,1.34645,0.86718,0.82311,0.897,0.54259,1.00278,1.70905,0.98219,0.00229809,0.00229809,0.00229809
190,8791.87,1.13182,1.5205,1.34862,0.86889,0.82258,0.89702,0.54292,1.0027,1.71097,0.98203,0.00225861,0.00225861,0.00225861
191,9587.78,1.12365,1.50882,1.34082,0.86845,0.82379,0.89726,0.54314,1.00256,1.70751,0.98209,0.00221964,0.00221964,0.00221964
192,10381.4,1.12471,1.49925,1.33985,0.8697,0.82441,0.89735,0.54348,1.00216,1.70593,0.9816,0.00218119,0.00218119,0.00218119
193,11177.9,1.11986,1.50075,1.3384,0.8702,0.82219,0.89671,0.54393,1.00245,1.70419,0.9816,0.00214326,0.00214326,0.00214326
194,11974,1.12561,1.51324,1.34344,0.86896,0.82392,0.89691,0.54402,1.00206,1.70071,0.98103,0.00210587,0.00210587,0.00210587
195,12770.3,1.12192,1.49859,1.34194,0.86984,0.82388,0.8972,0.54427,1.002,1.69824,0.98096,0.00206901,0.00206901,0.00206901
196,13566.3,1.11377,1.48227,1.33547,0.87081,0.82214,0.89765,0.5447,1.00163,1.69156,0.98074,0.00203269,0.00203269,0.00203269
197,14364.8,1.11679,1.48767,1.336,0.87131,0.82221,0.89761,0.54487,1.0011,1.69126,0.98059,0.00199692,0.00199692,0.00199692
198,15160.1,1.11493,1.47373,1.33599,0.87213,0.8226,0.89808,0.54529,1.00059,1.68824,0.98011,0.0019617,0.0019617,0.0019617
199,15957.6,1.11762,1.4798,1.33536,0.87245,0.82229,0.89796,0.54573,1.00061,1.68429,0.98016,0.00192704,0.00192704,0.00192704
200,16756.9,1.10632,1.47802,1.33234,0.87233,0.82302,0.89788,0.54594,1.0002,1.67937,0.9801,0.00189295,0.00189295,0.00189295
201,17555.6,1.11432,1.48528,1.33203,0.87135,0.82384,0.89792,0.54615,0.99994,1.68019,0.98001,0.00185942,0.00185942,0.00185942
202,18351.3,1.11111,1.4705,1.33124,0.87257,0.82168,0.89764,0.54646,0.99957,1.67822,0.97949,0.00182647,0.00182647,0.00182647
203,19144.6,1.11179,1.45241,1.33008,0.87273,0.82226,0.89753,0.54662,0.99937,1.67472,0.9791,0.0017941,0.0017941,0.0017941
204,19941,1.10384,1.4541,1.32786,0.87094,0.82504,0.89776,0.54701,0.999,1.66756,0.97864,0.00176232,0.00176232,0.00176232
205,20737.1,1.10586,1.4566,1.3281,0.87106,0.82433,0.89779,0.54731,0.99886,1.66095,0.97853,0.00173112,0.00173112,0.00173112
206,21533.6,1.10336,1.44904,1.32446,0.87525,0.82138,0.8979,0.54736,0.99846,1.65452,0.97817,0.00170052,0.00170052,0.00170052
207,22330.3,1.10635,1.45949,1.32634,0.87164,0.82545,0.8982,0.54766,0.998,1.64896,0.97802,0.00167052,0.00167052,0.00167052
208,23126.9,1.10512,1.45723,1.32497,0.87222,0.8249,0.89837,0.54792,0.99769,1.64307,0.97795,0.00164113,0.00164113,0.00164113
209,23923.1,1.10209,1.44817,1.32261,0.87257,0.82428,0.89797,0.54812,0.99713,1.63538,0.97769,0.00161234,0.00161234,0.00161234
210,24719.8,1.09965,1.44208,1.32161,0.87366,0.82275,0.89806,0.54814,0.99709,1.62765,0.97773,0.00158417,0.00158417,0.00158417
211,25519.6,1.0974,1.43573,1.31859,0.87322,0.82378,0.8984,0.54829,0.99711,1.61973,0.97763,0.00155662,0.00155662,0.00155662
212,26316.7,1.09488,1.42823,1.31642,0.87389,0.82432,0.89849,0.54842,0.99682,1.60901,0.97749,0.00152969,0.00152969,0.00152969
213,27115.8,1.09561,1.4392,1.31792,0.87543,0.82338,0.89851,0.54854,0.99659,1.59643,0.97719,0.00150339,0.00150339,0.00150339
214,27916.7,1.09678,1.43675,1.31754,0.87316,0.82477,0.89831,0.54915,0.99644,1.58563,0.97699,0.00147771,0.00147771,0.00147771
215,28712.8,1.09057,1.42113,1.31869,0.87486,0.8232,0.89847,0.54931,0.99617,1.57968,0.97664,0.00145268,0.00145268,0.00145268
216,29509.1,1.09081,1.42067,1.31414,0.87256,0.82565,0.89866,0.54913,0.99624,1.5687,0.97666,0.00142828,0.00142828,0.00142828
217,30304.3,1.09037,1.4207,1.31633,0.87198,0.82513,0.89848,0.54925,0.99619,1.55993,0.97687,0.00140452,0.00140452,0.00140452
218,31101.2,1.09046,1.41267,1.31371,0.87237,0.8253,0.89871,0.54966,0.99631,1.55446,0.97682,0.00138141,0.00138141,0.00138141
219,31897.2,1.09003,1.41446,1.31471,0.87223,0.82623,0.8989,0.55003,0.99612,1.54698,0.97648,0.00135896,0.00135896,0.00135896
220,32695.4,1.09088,1.41674,1.31421,0.87152,0.8273,0.89857,0.55022,0.99592,1.54231,0.97618,0.00133715,0.00133715,0.00133715
221,33492.4,1.08552,1.40311,1.30724,0.8727,0.82609,0.89851,0.55025,0.99544,1.5348,0.97555,0.00131601,0.00131601,0.00131601
222,34290.6,1.08319,1.40629,1.31071,0.87387,0.82449,0.8984,0.55022,0.9953,1.52893,0.97558,0.00129552,0.00129552,0.00129552
223,35087.4,1.0854,1.39369,1.30859,0.87521,0.82463,0.89856,0.55045,0.99507,1.52668,0.97548,0.0012757,0.0012757,0.0012757
224,35884.8,1.08494,1.39759,1.30847,0.87549,0.82475,0.89848,0.55067,0.99518,1.52246,0.97592,0.00125654,0.00125654,0.00125654
225,36683.5,1.0848,1.39083,1.30815,0.87537,0.82521,0.89874,0.55039,0.99513,1.51777,0.97585,0.00123806,0.00123806,0.00123806
226,37482,1.0823,1.38906,1.30653,0.87651,0.82447,0.89857,0.55078,0.99522,1.51577,0.97576,0.00122025,0.00122025,0.00122025
227,38287.4,1.08021,1.38814,1.30651,0.87637,0.82435,0.89884,0.5511,0.99452,1.51328,0.97482,0.00120311,0.00120311,0.00120311
228,39109.8,1.08044,1.391,1.30688,0.87616,0.82457,0.89899,0.55129,0.99437,1.51065,0.97444,0.00118665,0.00118665,0.00118665
229,39909.7,1.07816,1.38122,1.30634,0.87625,0.82421,0.89871,0.55143,0.99459,1.50808,0.97441,0.00117088,0.00117088,0.00117088
230,40703.6,1.07937,1.38422,1.30489,0.87631,0.82445,0.89884,0.55197,0.99475,1.50421,0.97439,0.00115578,0.00115578,0.00115578
231,41496.7,1.07785,1.37985,1.30548,0.87398,0.82646,0.89915,0.5521,0.99489,1.50444,0.97475,0.00114138,0.00114138,0.00114138
232,42291.5,1.07814,1.37768,1.30218,0.87559,0.82696,0.89915,0.55203,0.99488,1.50447,0.97461,0.00112766,0.00112766,0.00112766
233,43086.3,1.07611,1.37573,1.30281,0.87354,0.82807,0.89926,0.55253,0.99503,1.50442,0.97443,0.00111463,0.00111463,0.00111463
234,43879.3,1.07776,1.38299,1.30152,0.87185,0.8287,0.89907,0.55236,0.99565,1.50016,0.97486,0.00110229,0.00110229,0.00110229
235,44673.3,1.07476,1.37517,1.29963,0.87174,0.82877,0.89875,0.5524,0.99524,1.49677,0.97449,0.00109065,0.00109065,0.00109065
236,45428,1.22854,1.29771,1.25763,0.873,0.82847,0.89902,0.55237,0.99468,1.4915,0.97362,0.00107971,0.00107971,0.00107971
237,46129.8,1.21836,1.26622,1.25433,0.87373,0.82814,0.89913,0.55246,0.99482,1.48479,0.97339,0.00106946,0.00106946,0.00106946
238,46830.2,1.21745,1.26085,1.24674,0.87303,0.82901,0.89942,0.55283,0.99481,1.47735,0.97317,0.00105991,0.00105991,0.00105991
239,47533.2,1.21108,1.24833,1.2506,0.87275,0.82955,0.89915,0.55327,0.99479,1.46917,0.97345,0.00105107,0.00105107,0.00105107
240,48233.5,1.2143,1.24941,1.24375,0.87086,0.83172,0.89966,0.55309,0.99463,1.46507,0.97356,0.00104292,0.00104292,0.00104292
241,48935.7,1.20636,1.24309,1.24315,0.87069,0.83141,0.89942,0.55343,0.99464,1.4584,0.97351,0.00103548,0.00103548,0.00103548
242,49637.2,1.2075,1.23904,1.2424,0.86948,0.83278,0.89928,0.55339,0.99475,1.45438,0.97359,0.00102875,0.00102875,0.00102875
243,50338.1,1.20915,1.23996,1.24358,0.86982,0.83233,0.89922,0.55377,0.9948,1.4485,0.97376,0.00102272,0.00102272,0.00102272
244,51038.5,1.20919,1.23759,1.24379,0.8725,0.83112,0.89907,0.55376,0.9948,1.44288,0.97378,0.0010174,0.0010174,0.0010174
245,51739.4,1.20154,1.2243,1.23565,0.8712,0.83232,0.89955,0.5538,0.99477,1.44219,0.97406,0.00101278,0.00101278,0.00101278
246,52440.5,1.20273,1.22076,1.23971,0.87304,0.83148,0.89931,0.55384,0.99541,1.43819,0.97481,0.00100888,0.00100888,0.00100888
247,53140.9,1.20138,1.21691,1.23594,0.87377,0.82996,0.89923,0.55377,0.99552,1.43462,0.97501,0.00100568,0.00100568,0.00100568
248,53842.4,1.20144,1.21562,1.23716,0.87223,0.83044,0.89921,0.55405,0.99567,1.43075,0.97529,0.0010032,0.0010032,0.0010032
249,54544.8,1.19845,1.21168,1.23708,0.8754,0.82875,0.89914,0.55426,0.99612,1.42567,0.9757,0.00100142,0.00100142,0.00100142
250,55246,1.19824,1.20882,1.23217,0.87687,0.82768,0.89918,0.5544,0.99607,1.42013,0.97573,0.00100036,0.00100036,0.00100036
