epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,33895.5,1.29583,2.03921,1.49991,0.81696,0.78968,0.85681,0.49849,1.04383,2.61435,1.02832,0.00941583,0.00941583,0.00941583
43,34700.2,1.29292,2.03184,1.50165,0.81551,0.79042,0.85733,0.4987,1.04345,2.60002,1.02795,0.00938766,0.00938766,0.00938766
44,35502,1.28973,2.01087,1.49667,0.81896,0.78977,0.85812,0.49958,1.04241,2.58857,1.02687,0.00935887,0.00935887,0.00935887
45,36305.4,1.28596,2.01788,1.49393,0.81877,0.79257,0.85853,0.5002,1.0415,2.56557,1.02598,0.00932948,0.00932948,0.00932948
46,37119.6,1.2899,2.00002,1.49411,0.82455,0.7895,0.8595,0.50097,1.04084,2.5441,1.02585,0.00929948,0.00929948,0.00929948
47,37956,1.28823,2.00858,1.49224,0.82758,0.78706,0.86021,0.50134,1.04008,2.53541,1.02543,0.00926888,0.00926888,0.00926888
48,38770.4,1.28627,2.00031,1.49227,0.82722,0.78682,0.86032,0.50159,1.03967,2.52358,1.02491,0.00923768,0.00923768,0.00923768
49,39585,1.28788,2.02091,1.49508,0.8264,0.79026,0.86126,0.50216,1.03948,2.51668,1.02493,0.0092059,0.0092059,0.0092059
50,40383.8,1.28671,2.0004,1.49109,0.82706,0.79176,0.86202,0.50271,1.03964,2.5132,1.02485,0.00917353,0.00917353,0.00917353
51,41182.5,1.28457,2.01197,1.48812,0.82532,0.79393,0.86235,0.50299,1.03942,2.50955,1.02439,0.00914058,0.00914058,0.00914058
52,41983,1.27641,1.99291,1.48425,0.82488,0.79353,0.86231,0.50312,1.03922,2.49862,1.02401,0.00910705,0.00910705,0.00910705
53,42781.5,1.27666,1.9791,1.48444,0.82508,0.79489,0.86233,0.50311,1.03872,2.48675,1.02396,0.00907296,0.00907296,0.00907296
54,43582,1.27727,1.98331,1.4838,0.82625,0.79459,0.86302,0.50358,1.03778,2.47167,1.02391,0.0090383,0.0090383,0.0090383
55,44381.2,1.27751,1.97453,1.48001,0.82654,0.79466,0.86281,0.50404,1.0375,2.45168,1.0233,0.00900308,0.00900308,0.00900308
56,45179.6,1.27579,1.9715,1.48055,0.82931,0.79367,0.86317,0.50458,1.03707,2.42598,1.02293,0.00896731,0.00896731,0.00896731
57,45987.8,1.27463,1.9755,1.48262,0.8274,0.79488,0.86309,0.50498,1.03645,2.4177,1.02219,0.00893099,0.00893099,0.00893099
58,46789.3,1.2786,1.97815,1.48542,0.82984,0.79354,0.86341,0.50533,1.03626,2.40512,1.02161,0.00889413,0.00889413,0.00889413
59,47591.3,1.27674,1.95888,1.48326,0.83106,0.79224,0.86362,0.50568,1.03592,2.39689,1.02137,0.00885674,0.00885674,0.00885674
60,48394.4,1.26873,1.93804,1.47266,0.83292,0.79196,0.8639,0.50603,1.03536,2.3804,1.02062,0.00881881,0.00881881,0.00881881
61,49197.9,1.27096,1.95161,1.47518,0.83168,0.7922,0.86376,0.50573,1.03525,2.38,1.02012,0.00878036,0.00878036,0.00878036
62,49997.9,1.27525,1.94143,1.47325,0.83192,0.79385,0.86472,0.50658,1.03472,2.37034,1.01948,0.00874139,0.00874139,0.00874139
63,855.252,1.25811,1.93089,1.47079,0.82716,0.79789,0.86484,0.50667,1.03456,2.36361,1.0192,0.00870191,0.00870191,0.00870191
64,1650.13,1.27164,1.96894,1.48045,0.82891,0.79608,0.8653,0.50698,1.03431,2.36857,1.01892,0.00866192,0.00866192,0.00866192
65,2432.35,1.27448,1.97147,1.47867,0.82822,0.79486,0.86504,0.5069,1.03347,2.36707,1.0181,0.00862144,0.00862144,0.00862144
66,3214.34,1.27349,1.97541,1.47706,0.82816,0.7967,0.86531,0.50715,1.03313,2.36873,1.0175,0.00858046,0.00858046,0.00858046
67,3996.92,1.2801,1.98652,1.48662,0.82842,0.79623,0.8657,0.50757,1.0327,2.36841,1.01722,0.008539,0.008539,0.008539
68,4780.23,1.26913,1.96979,1.47762,0.83018,0.79506,0.86593,0.50783,1.03239,2.37355,1.01673,0.00849705,0.00849705,0.00849705
69,5567.64,1.27337,1.96722,1.48024,0.82902,0.79622,0.86635,0.50835,1.03212,2.37613,1.01602,0.00845464,0.00845464,0.00845464
70,6349.98,1.27838,1.96624,1.48043,0.82786,0.79863,0.86676,0.50836,1.03187,2.37763,1.01586,0.00841175,0.00841175,0.00841175
71,7134.98,1.26462,1.9448,1.47319,0.82997,0.79909,0.86731,0.50871,1.03111,2.37561,1.01509,0.00836841,0.00836841,0.00836841
72,7916.35,1.26847,1.95208,1.47528,0.83071,0.79827,0.86732,0.50896,1.03115,2.37194,1.01507,0.00832461,0.00832461,0.00832461
73,8707.62,1.26915,1.95984,1.47495,0.83168,0.79882,0.86803,0.5096,1.0308,2.37727,1.01459,0.00828037,0.00828037,0.00828037
74,9495.83,1.26913,1.94472,1.47086,0.83304,0.79715,0.86855,0.50995,1.03115,2.38034,1.01473,0.00823569,0.00823569,0.00823569
75,10279.9,1.26417,1.92962,1.46918,0.83564,0.79492,0.86864,0.51021,1.03119,2.38586,1.01456,0.00819057,0.00819057,0.00819057
76,11066.8,1.26423,1.93345,1.46892,0.83646,0.79518,0.86925,0.51074,1.03067,2.38621,1.01408,0.00814503,0.00814503,0.00814503
77,11854,1.2658,1.94904,1.474,0.83725,0.7956,0.8695,0.51102,1.03007,2.38626,1.01381,0.00809908,0.00809908,0.00809908
78,12641.8,1.26274,1.93292,1.46851,0.83772,0.79574,0.86987,0.51103,1.03018,2.39265,1.01354,0.00805271,0.00805271,0.00805271
79,13426.1,1.2589,1.91254,1.46731,0.83842,0.7954,0.86968,0.51087,1.03053,2.38342,1.0135,0.00800594,0.00800594,0.00800594
80,14214.1,1.25932,1.91382,1.46416,0.83976,0.79521,0.87047,0.51087,1.03056,2.37339,1.0131,0.00795877,0.00795877,0.00795877
81,15000,1.2554,1.89408,1.46646,0.84132,0.79457,0.87102,0.51153,1.0303,2.36747,1.01259,0.00791122,0.00791122,0.00791122
82,15787.8,1.2587,1.91007,1.46331,0.84086,0.79697,0.87129,0.51165,1.03023,2.36323,1.01247,0.00786329,0.00786329,0.00786329
83,16576.6,1.25154,1.91257,1.46464,0.84166,0.79787,0.87235,0.51188,1.03016,2.35332,1.01236,0.00781498,0.00781498,0.00781498
84,17365,1.25591,1.91811,1.4636,0.84002,0.79872,0.87281,0.51217,1.03016,2.34856,1.01227,0.0077663,0.0077663,0.0077663
85,18150.2,1.25338,1.89496,1.46232,0.83863,0.80163,0.87324,0.51245,1.02941,2.34345,1.01139,0.00771727,0.00771727,0.00771727
86,18933.9,1.25461,1.88006,1.462,0.83979,0.80041,0.87309,0.51304,1.02935,2.32974,1.01145,0.00766789,0.00766789,0.00766789
87,19719.6,1.24979,1.88484,1.45862,0.84124,0.79987,0.87343,0.51326,1.02921,2.31479,1.01134,0.00761817,0.00761817,0.00761817
88,20507.4,1.2453,1.8849,1.45547,0.84188,0.79937,0.87352,0.51372,1.02891,2.30123,1.01119,0.00756811,0.00756811,0.00756811
89,21311.3,1.24498,1.87048,1.45333,0.84054,0.7986,0.87312,0.51376,1.0287,2.28494,1.01128,0.00751772,0.00751772,0.00751772
90,22142.2,1.24918,1.87412,1.45523,0.84014,0.80036,0.87352,0.51433,1.02812,2.27105,1.01081,0.00746702,0.00746702,0.00746702
91,22969.8,1.24919,1.87532,1.45182,0.84274,0.79957,0.8741,0.51464,1.02777,2.26164,1.01026,0.00741601,0.00741601,0.00741601
92,23773.5,1.24294,1.88013,1.44869,0.84269,0.80209,0.87443,0.51533,1.0274,2.25255,1.00973,0.00736469,0.00736469,0.00736469
93,24566.8,1.24586,1.86862,1.45379,0.84221,0.80213,0.87465,0.51535,1.02713,2.24356,1.00947,0.00731308,0.00731308,0.00731308
94,25362.1,1.24768,1.86122,1.45094,0.84247,0.80328,0.87516,0.51564,1.02714,2.23089,1.00931,0.00726118,0.00726118,0.00726118
95,26155.9,1.24095,1.86474,1.4488,0.84359,0.80341,0.8754,0.51593,1.02683,2.22339,1.00899,0.00720901,0.00720901,0.00720901
96,26949.5,1.24038,1.86674,1.44837,0.84098,0.80515,0.87545,0.5164,1.02614,2.22413,1.00889,0.00715656,0.00715656,0.00715656
97,27745,1.23977,1.85423,1.44558,0.84009,0.80592,0.87616,0.5165,1.02596,2.22188,1.00918,0.00710385,0.00710385,0.00710385
98,28536,1.23279,1.83931,1.44698,0.8417,0.80471,0.87658,0.51686,1.02592,2.22216,1.00895,0.00705089,0.00705089,0.00705089
99,29326.7,1.23882,1.83898,1.44429,0.84084,0.8043,0.87667,0.51699,1.02584,2.21646,1.00901,0.00699769,0.00699769,0.00699769
100,30118.2,1.23523,1.83462,1.44315,0.84367,0.80355,0.8773,0.51755,1.02547,2.20404,1.00838,0.00694425,0.00694425,0.00694425
101,30910,1.23717,1.84561,1.44205,0.84468,0.80386,0.87766,0.51789,1.02476,2.19025,1.00773,0.00689058,0.00689058,0.00689058
102,31701.5,1.2346,1.83619,1.44309,0.84527,0.80261,0.87837,0.51832,1.02449,2.18493,1.00732,0.00683669,0.00683669,0.00683669
103,32494.9,1.23407,1.84336,1.4422,0.84592,0.80212,0.87864,0.51883,1.02407,2.17534,1.007,0.00678259,0.00678259,0.00678259
104,33288.3,1.23336,1.82566,1.43749,0.84891,0.8014,0.87918,0.51948,1.0233,2.17245,1.00651,0.00672828,0.00672828,0.00672828
105,34081.5,1.22894,1.82695,1.43977,0.85004,0.80096,0.87923,0.51956,1.02273,2.16227,1.00565,0.00667379,0.00667379,0.00667379
106,34874.5,1.22718,1.81173,1.43557,0.84862,0.80153,0.87934,0.52012,1.02272,2.15962,1.00518,0.0066191,0.0066191,0.0066191
107,35666.5,1.22579,1.81661,1.43414,0.85061,0.79997,0.87946,0.52017,1.0223,2.14722,1.00467,0.00656425,0.00656425,0.00656425
108,36458.8,1.22739,1.81404,1.43546,0.85178,0.79992,0.87971,0.52076,1.02178,2.13722,1.00432,0.00650922,0.00650922,0.00650922
109,37251.6,1.22404,1.80657,1.43248,0.85349,0.80065,0.88018,0.52122,1.02133,2.12345,1.00388,0.00645403,0.00645403,0.00645403
110,38044.3,1.22361,1.80258,1.43029,0.85382,0.80007,0.88034,0.52167,1.02123,2.11361,1.00337,0.00639869,0.00639869,0.00639869
111,38837.8,1.22222,1.81498,1.43122,0.85531,0.80002,0.88073,0.5218,1.02096,2.1101,1.00329,0.00634322,0.00634322,0.00634322
112,39628.5,1.22231,1.79684,1.43326,0.8553,0.80023,0.8812,0.52234,1.02127,2.10101,1.00321,0.0062876,0.0062876,0.0062876
113,40419.3,1.22606,1.80557,1.4337,0.85399,0.80184,0.88185,0.52222,1.02081,2.09728,1.00279,0.00623187,0.00623187,0.00623187
114,41211.9,1.22018,1.79921,1.43052,0.85302,0.80373,0.88195,0.52259,1.02041,2.09131,1.00212,0.00617602,0.00617602,0.00617602
115,42004.2,1.22146,1.79575,1.42755,0.85039,0.80687,0.88238,0.52281,1.01994,2.08106,1.00168,0.00612006,0.00612006,0.00612006
116,42796.4,1.22242,1.79864,1.43174,0.85154,0.80605,0.88254,0.52315,1.01993,2.07422,1.00163,0.006064,0.006064,0.006064
117,43587.8,1.22359,1.794,1.42978,0.8487,0.80855,0.8829,0.52358,1.01918,2.06854,1.00116,0.00600785,0.00600785,0.00600785
118,44379,1.21666,1.78813,1.42746,0.84825,0.80755,0.8831,0.52381,1.01854,2.06224,1.00096,0.00595163,0.00595163,0.00595163
119,45178.8,1.21366,1.78765,1.42619,0.84967,0.80695,0.88331,0.52415,1.0182,2.05537,1.00071,0.00589533,0.00589533,0.00589533
120,45992.6,1.22269,1.79498,1.43174,0.85135,0.8061,0.8836,0.52472,1.01867,2.0555,1.00032,0.00583897,0.00583897,0.00583897
121,46785.8,1.21785,1.77167,1.42602,0.85181,0.80706,0.88376,0.525,1.01846,2.05252,0.99998,0.00578256,0.00578256,0.00578256
122,47577.1,1.21169,1.75731,1.41825,0.8517,0.80827,0.88411,0.52545,1.0184,2.04526,0.99962,0.0057261,0.0057261,0.0057261
123,48369.7,1.21098,1.76059,1.41966,0.85018,0.80923,0.88466,0.52606,1.01842,2.03957,0.99934,0.00566961,0.00566961,0.00566961
124,49165.9,1.21913,1.75772,1.41827,0.85185,0.80865,0.88501,0.52645,1.01773,2.0296,0.99877,0.00561309,0.00561309,0.00561309
125,49957.6,1.21035,1.76599,1.42414,0.8508,0.80881,0.88495,0.52674,1.01703,2.02537,0.99797,0.00555655,0.00555655,0.00555655
126,50751.7,1.21301,1.76973,1.42071,0.85126,0.81067,0.88544,0.52711,1.01639,2.02003,0.99764,0.0055,0.0055,0.0055
